fsq_id,name,popularity,price,rating,total_photos,total_ratings,total_tips
4aa920b0f964a520155220e3,Cafe Zen on Yew,0.8885397268777157,1.0,7.1,64.0,76.0,25.0
4aa92174f964a520195220e3,The Burrito Brothers Mexican Food,0.7937616387337058,1.0,6.9,5.0,9.0,5.0
5955d24b112c6c598f81f6f9,The Ellis,0.9314478584729982,3.0,,,,
4aaa62abf964a520cb5520e3,Yew York,0.3889082867783985,3.0,,,,
4aa7e656f964a520ee4d20e3,Kits Sushi,0.7827242396027312,2.0,5.9,8.0,20.0,10.0
50c2589fe4b0489424ed0c46,The Kings Head Vancouver,0.9211475791433892,1.0,5.1,22.0,25.0,8.0
5b6e4399a4ba7c002c1a9c79,Thai Basil Restaurant,0.7903282122905028,2.0,,,,
420779120ca545399f66cb2f,Sunset Grill Restaurant,,,,,,
60a22d3744aa4d801e432897,Kingshead Inn,,,,,,
7572a99991de4aa32c580d56,King's Head Inn,,,,,,
a67444e058d14886b94d8ade,Tangerine,,,,,,
4ce7fc88574deeeb99ad9cc2,Feel City BBQ,,,,,,
5044114ce4b003e2b452ddee,La Petite Cuillere,0.893137026691496,2.0,8.4,53.0,25.0,6.0
4acd77a2f964a52025cc20e3,Our Town Cafe,0.9633573867163252,1.0,8.5,61.0,124.0,20.0
4aab07faf964a520a15820e3,Budgies Burritos,0.9214773432650528,1.0,7.8,82.0,96.0,21.0
4abedbd3f964a5204d9020e3,Hime Japanese Restaurant,0.9648704220980756,2.0,6.9,30.0,43.0,10.0
59eaa510ff0306350d76bf9e,The Black Lodge,0.7862934512725015,3.0,6.9,5.0,9.0,1.0
4c0db123d64c0f47332e275d,Social,0.0270794537554314,3.0,,,,
61eccf043030b3598c2b11ca,Pizza Pizza,0.8466208876474239,1.0,,,,
dc68f0ad3197444443b9c8b9,Whiffing Well Oxygen Bar & Vapour Lounge,,,,,,
5025a880e572a306f91e73bd,Quesada Burritos & Tacos,,,,,,
548bb931498e031a7dad39a6,Tim Hortons,0.958604903786468,1.0,6.9,63.0,40.0,2.0
4b0e0237f964a520c95323e3,Ahwaz Hookah House,0.958391527001862,1.0,6.1,11.0,17.0,6.0
617df7621bea062d56303895,Jang Mo Jib,0.8171942892613284,2.0,,,,
5d659065ffbacb0008a01cf5,Miss Korea BBQ,0.9621547175667288,2.0,,,,
57242c7ecd1040df61be5d0b,Kissa Tanto,0.9394785847299814,2.0,8.4,77.0,78.0,9.0
5232a7428bbdeb25735b08df,The Emerald,0.860451582867784,3.0,7.1,43.0,49.0,13.0
608cc5486a2833450485bdcf,Barbara,0.8724588764742396,2.0,,,,
5c75fa29ad1789002ce814c2,Manpuku Bento,0.962756052141527,2.0,,,,
4bdb45f83904a5931894499e,Maxim's Restaurant 美心餅店,0.9693901303538176,1.0,6.0,41.0,19.0,9.0
5ce09caf916bc1002c80c4d9,La Boqueria,0.9522423960273122,2.0,,,,
583a00b6809a772320ac07dd,Klaus's Kaffee Haus,0.4914261328367473,1.0,,,,
614e2bc4185f6e0f5c0dc7b8,Nancy Go YaYa Eating House,0.9552490689013036,,,,,
4aab0973f964a520a65820e3,La Casa Gelato,0.9919498758535072,2.0,8.1,436.0,225.0,70.0
5815754438fada27f6999ae5,Luppolo Brewing Co,0.9577707945375544,2.0,7.0,63.0,37.0,8.0
5a4eba1ac4df1d0cacc5b9e6,Baggio Gelateria and Pizzeria,0.9119723774053384,2.0,,,,
5ec732a8b2e8430007360f1c,Bella Napoli,0.6974511173184358,1.0,,,,
5fd8164439540a7f81267e6e,Seahouse Restaurant,0.9434551520794536,,,,,
555df6c9498ec05757a9ef70,Moja Coffee,0.9562189633767846,1.0,8.3,40.0,121.0,7.0
4ce833c6fe90a35d053c410e,Sweet Cherubim,0.8765130353817505,,7.8,30.0,41.0,20.0
4b71d2caf964a520905e2de3,Britannia Sushi,0.2055982309124767,2.0,8.1,10.0,88.0,10.0
4aa80271f964a520af4e20e3,Biercraft,0.8148859404096834,3.0,8.5,173.0,118.0,52.0
5256c3bf498e4a720085f2cf,Sula Indian Restaurant,0.9529407200496586,2.0,7.6,18.0,16.0,6.0
4aecb34ff964a52060ca21e3,Pizza Garden,0.8268156424581006,1.0,7.1,10.0,14.0,3.0
4cddb9c1c4f6a35d0b36c56c,Eternal Abundance,0.8001241464928616,2.0,7.5,23.0,28.0,5.0
4aa9ac06f964a520ca5420e3,Joe's Cafe,0.8859404096834265,1.0,7.5,22.0,14.0,10.0
5f00f72289dce8008504b1fa,The Lunch Lady,0.9835505896958412,2.0,,,,
5d959d36718dfa0008f72e41,The Pizza Castle & Indian Curry,0.8523238671632526,2.0,,,,
5a3c6926898bdc16c1092eb1,Kulinarya,0.9014587212911236,2.0,,,,
5fa469466e1d2e5056f399ee,Mogu Fried Chicken,0.9155415890751086,2.0,,,,
58fd635835dfa707a416c32a,Thai Basil Restaurant,0.8818862507759155,2.0,,,,
4aa7f9fff964a520684e20e3,Lime Japanese Cuisine,0.5815875232774674,2.0,,,,
5c40fec6c97f28002b4761da,Bombay Kitchen and Bar,0.9099162011173184,2.0,,,,
d812a3c94a8440c3f2bf72c6,Hustle Pizza Co,,,,,,
e3f180b38ef140186b7e7098,The Reef Caribbean Restaurant - Commercial Drive,,,,,,
1433ae1cbf9f451d294fafa4,The Lang Club,,,,,,
793d7457b4be49bce4542e80,Santos Tapas Restaurant,,,,,,
7b5f0d08b398478278099acc,PhoEver Fresh Vietnamese Cuisine,,,,,,
5b470ee73e3f42936d5ee638,Tacofino,,,,,,
4aaae466f964a520e45720e3,Bacchus Restaurant & Lounge,0.9735800744878956,4.0,8.3,99.0,71.0,18.0
4aa17172f964a520904020e3,JOEY Burrard,0.9892923649906892,2.0,8.5,311.0,323.0,68.0
4aa7ceb6f964a520504d20e3,Caffe Artigiano,0.9684784295468652,2.0,7.7,204.0,144.0,53.0
