fsq_id,station_id
4fd3a01be4b0540d9cb027ea,7a19c49f486d7c0c02b3685d7b240448
5d2843a1c56f480023f8e4cd,7a19c49f486d7c0c02b3685d7b240448
63560d0518f2d50e9c6b4717,7a19c49f486d7c0c02b3685d7b240448
506241a2e4b061897f154545,7a19c49f486d7c0c02b3685d7b240448
5678df11498e17b35a76bc68,7a19c49f486d7c0c02b3685d7b240448
acd8424b3fad4dda1e267983,7a19c49f486d7c0c02b3685d7b240448
02a86174fca7491070b7af5f,7a19c49f486d7c0c02b3685d7b240448
f0b9648082f64571e86ae32f,7a19c49f486d7c0c02b3685d7b240448
db4410dc37cd47a74f2d4733,7a19c49f486d7c0c02b3685d7b240448
5751fda3498e4f21436b3b09,32603a87cfca71d0f7dfa3513bad69d5
5a878c33f8cbd46ab822ef69,32603a87cfca71d0f7dfa3513bad69d5
4e2901b5b61c41a2f8a38ab3,32603a87cfca71d0f7dfa3513bad69d5
4aa94599f964a520cc5220e3,32603a87cfca71d0f7dfa3513bad69d5
4b4fdbd2f964a520c91727e3,32603a87cfca71d0f7dfa3513bad69d5
4aa74bb8f964a520a14c20e3,32603a87cfca71d0f7dfa3513bad69d5
4aa87be5f964a520785120e3,32603a87cfca71d0f7dfa3513bad69d5
517ccf1de4b0a5232a99e385,32603a87cfca71d0f7dfa3513bad69d5
517b21d7e4b08338c6c6e247,32603a87cfca71d0f7dfa3513bad69d5
4f6b60e3e4b026c4acd2727e,32603a87cfca71d0f7dfa3513bad69d5
4aa834c0f964a5200f5020e3,32603a87cfca71d0f7dfa3513bad69d5
4aa7332cf964a520414c20e3,32603a87cfca71d0f7dfa3513bad69d5
4aa743a8f964a520884c20e3,32603a87cfca71d0f7dfa3513bad69d5
4aa80cc4f964a520fd4e20e3,32603a87cfca71d0f7dfa3513bad69d5
515d0176fe70ed72be0f6d2f,32603a87cfca71d0f7dfa3513bad69d5
4b760075f964a520bb352ee3,32603a87cfca71d0f7dfa3513bad69d5
545a9aac498e653625a4f9d3,32603a87cfca71d0f7dfa3513bad69d5
4fa9bfd0e4b0f8dd982168f6,32603a87cfca71d0f7dfa3513bad69d5
5b5e70d2be7078002c2514dc,32603a87cfca71d0f7dfa3513bad69d5
6264b0d4befc6d0886c16255,32603a87cfca71d0f7dfa3513bad69d5
52d0af0e498e6fab25e39ec5,32603a87cfca71d0f7dfa3513bad69d5
5f8a7dd8a02efd7a81796559,32603a87cfca71d0f7dfa3513bad69d5
33ce49c3dc9f48f804d0dca2,32603a87cfca71d0f7dfa3513bad69d5
4aa0e4bdd4da467865d8a6aa,32603a87cfca71d0f7dfa3513bad69d5
777207538f074d253e836fe5,32603a87cfca71d0f7dfa3513bad69d5
d84e80f91abc4d7f60305768,32603a87cfca71d0f7dfa3513bad69d5
616953860f124f79b0b3990c,32603a87cfca71d0f7dfa3513bad69d5
c47f668aaae1420fd34dd62f,32603a87cfca71d0f7dfa3513bad69d5
4fb14574e4b0e047b2ebf605,bf8408067b0e0c963f3ff526977bcef3
4d486b0211618cfade6cd423,bf8408067b0e0c963f3ff526977bcef3
576c9358cd10a371ffa40cfb,bf8408067b0e0c963f3ff526977bcef3
4b103e52f964a520206c23e3,bf8408067b0e0c963f3ff526977bcef3
52831fbd11d2e6c28ac11bb9,bf8408067b0e0c963f3ff526977bcef3
4f0f3003e4b0d2af73a23682,bf8408067b0e0c963f3ff526977bcef3
4c49d7b3567776b07e8d0588,bf8408067b0e0c963f3ff526977bcef3
4b675688f964a520f0482be3,bf8408067b0e0c963f3ff526977bcef3
5053c6abe4b0719d6768a508,bf8408067b0e0c963f3ff526977bcef3
53fe1bd1498e8b3759518bb7,bf8408067b0e0c963f3ff526977bcef3
4bbe603c006dc9b66e11fb3f,bf8408067b0e0c963f3ff526977bcef3
564284a1498e8336839b7a87,bf8408067b0e0c963f3ff526977bcef3
