id,station_id
jd0XyZCTzMOwiSrVjCwcpQ,9449a6a83fbf88452e384350e5ac95b7
qn_lvX0D27u38UzAL4pa1g,9449a6a83fbf88452e384350e5ac95b7
DJGoBfUSZ955bNQAK6aBog,9449a6a83fbf88452e384350e5ac95b7
bUyJ7AHN-dXCewS0NVw7jQ,9449a6a83fbf88452e384350e5ac95b7
3o_uedOTplKebCqHw6H86A,9449a6a83fbf88452e384350e5ac95b7
YXooKYy632AGmzjqjBrutA,9449a6a83fbf88452e384350e5ac95b7
htZ2lOcEJ3BRhwMehZgI7A,9449a6a83fbf88452e384350e5ac95b7
vN-OSZtWPZRrxgRt6Zdx6A,9449a6a83fbf88452e384350e5ac95b7
rQOpafcLorc_rPDPOKjfGg,9449a6a83fbf88452e384350e5ac95b7
guvAcx5czb6IqmuED1E-uA,9449a6a83fbf88452e384350e5ac95b7
64drFDGorfQPecRLP-lThw,365da33e9ce06ea53db1173a0f8eae71
fC7Nik_Eyhth4l9wFB2Qpg,365da33e9ce06ea53db1173a0f8eae71
TZ2fpNhNWH2tmFI-kIG_yw,707c1c54e0278fbae5d0ae3c42a25b71
3c5iJ9DQPt3R7Do1WaaW-w,707c1c54e0278fbae5d0ae3c42a25b71
r-njwQQ57eF8ejv2QclItA,707c1c54e0278fbae5d0ae3c42a25b71
STTsnEapJPt4ZR1sQ3hNig,707c1c54e0278fbae5d0ae3c42a25b71
UjDZwOEn1Cx3o906B541EQ,707c1c54e0278fbae5d0ae3c42a25b71
IO51VcyNBLtRGl4FF8bOmw,707c1c54e0278fbae5d0ae3c42a25b71
YUWUwIv6WrwHda81WqNVwg,707c1c54e0278fbae5d0ae3c42a25b71
Ri0V6nyH0qOQH6e5vtDQ0Q,707c1c54e0278fbae5d0ae3c42a25b71
TPSicxGE9Fc9c0377PHmtg,707c1c54e0278fbae5d0ae3c42a25b71
vi0pI7ghshOZ3JHe3WE5jw,707c1c54e0278fbae5d0ae3c42a25b71
RXaSRc5rWu7kr6A6yl6cWw,707c1c54e0278fbae5d0ae3c42a25b71
FD4jKJCMQrvLtS17Pg0rZg,707c1c54e0278fbae5d0ae3c42a25b71
esiq28ryKqk7G_xwDyJxkg,5105df3dd0daf4c26980f4134f61e5cc
viTut7TZzcR2Q8HAtqe8Zw,5105df3dd0daf4c26980f4134f61e5cc
a9P_JDakVrbunkghXHM9ug,5105df3dd0daf4c26980f4134f61e5cc
1UkzvVfUk0_MSTm6G34fMA,5105df3dd0daf4c26980f4134f61e5cc
B2UbgKVGP6P7HhD4DtYP8A,5105df3dd0daf4c26980f4134f61e5cc
Kv9c395EanG-Xv8pp8j_fg,5105df3dd0daf4c26980f4134f61e5cc
ZfsWvQRC1nhMOcD67rcFtQ,5105df3dd0daf4c26980f4134f61e5cc
kajMc2fkWKdzKJ1M4pm47Q,82c794442f54fabf9db6e392ca1fac0f
1KSuwOYn_bmhAEAgUriYYA,e7bf01431a6982f032996ad50a9e5bd7
RfcPs1GmBErgev2CJlkfQA,e7bf01431a6982f032996ad50a9e5bd7
d0YyLeHs90eNBCACc6_WIw,e7bf01431a6982f032996ad50a9e5bd7
_x53w2dzVJiLW7vLd7qbjw,e7bf01431a6982f032996ad50a9e5bd7
ZaO2ZLbdk-D269iNtYqDWg,e7bf01431a6982f032996ad50a9e5bd7
V7WrmzvsMbJZNQ6uf5K6Vw,e7bf01431a6982f032996ad50a9e5bd7
8NvMeQwuy_wT37C4_J3BHg,e7bf01431a6982f032996ad50a9e5bd7
F-TYP2zuIwlqEwjW80d5Ew,e7bf01431a6982f032996ad50a9e5bd7
Y8W-6QrUxLlUcm2kHDhyZg,e7bf01431a6982f032996ad50a9e5bd7
5rZKOedzldGFx0LNeWdQ0A,e7bf01431a6982f032996ad50a9e5bd7
4n-aj1CTTbDXm5UxdsaKQw,e7bf01431a6982f032996ad50a9e5bd7
gmCJoBAV2M9VIWJ1X4RIAQ,e7bf01431a6982f032996ad50a9e5bd7
QbvMaN8JekZh9HWRn9e0LA,e7bf01431a6982f032996ad50a9e5bd7
DllpjPUSLdhGLIWqUl8cFQ,91035fe1d70b65c9cb8ec4a007af7c7f
QmkGDL-8zexdKV3Xcn8ZYg,d2244f1a81d317c76cabd65e81250835
psiDEOaU5uS6REGJMVkUWw,d2244f1a81d317c76cabd65e81250835
njnqb8mGCy_JMKL9_9szbg,d2244f1a81d317c76cabd65e81250835
kzxedaXoGWb4u4fnmjWBdQ,b307709b305dd04328fbbf2c6db86419
9Waotz-_G9woVPWZTmZcwA,ac3b8198f03754a0afb8b6ed6d220cdd
l0cLT4c59zu0H8MVwp7vqA,ac3b8198f03754a0afb8b6ed6d220cdd
G-Ugj0M9x_-nL_t2yLUk3w,ac3b8198f03754a0afb8b6ed6d220cdd
