id,name,review_count,rating,transactions,station_id
pJge_LJ3NV8iQtrERe6AyQ,Indian Roti Kitchen,153,4.5,[],686c0fdb962e26e274d81fc286c010dd
-HfxEoo3wIWFApvuDcHEGg,Passion8 Dessert Cafe,201,4.0,[],686c0fdb962e26e274d81fc286c010dd
HIJlNqu7VKYAxFApilHg6w,Shiro,240,4.0,[],686c0fdb962e26e274d81fc286c010dd
NPOkjob3PFlNrvZ-GO3fqQ,The Firewood Café,115,4.0,[],686c0fdb962e26e274d81fc286c010dd
KN9zCrgwHj_iWQGEf3Vzyw,Tropika On Cambie,169,3.0,[],686c0fdb962e26e274d81fc286c010dd
ovjumOkIMjG36JGdhdTNUA,New Sun Restaurant,26,3.5,[],686c0fdb962e26e274d81fc286c010dd
pQsTrwmMl9qRlXaJ9_RCzw,Hot Delivery Chinese Food,51,2.5,[],686c0fdb962e26e274d81fc286c010dd
AdlGyoE9ff7dxZv-tklsLQ,Chirpyhut Fried Chicken,13,3.5,[],686c0fdb962e26e274d81fc286c010dd
lI_MtIincsGqUGMmvzEZRw,V Yaletown,6,3.5,[],686c0fdb962e26e274d81fc286c010dd
PM1_JLPnZVPbgScyNEQFKA,Yuzu,2,3.0,[],686c0fdb962e26e274d81fc286c010dd
