id,name,review_count,rating,transactions,station_id
dF5qYrLOxp710HOSWhIZ9g,Coo Coo Coffee,140,4.0,[],e9b37f2d9b7b2e2e3ade73f13acb69b2
0bfwNvbJ58pO3TTkZIcr1A,Nuba in Yaletown,97,4.0,[],e9b37f2d9b7b2e2e3ade73f13acb69b2
JUbIWP2Ky62dA7JFdgEW3Q,Chancho Tortilleria,84,4.0,[],e9b37f2d9b7b2e2e3ade73f13acb69b2
U3L-K3CQsQOSETtmTCxiBQ,Noah's Cafe,25,4.5,[],e9b37f2d9b7b2e2e3ade73f13acb69b2
zLyC3qN0c5Zg-sfb6eZhQw,JJ Bean Coffee Roasters,99,3.5,[],e9b37f2d9b7b2e2e3ade73f13acb69b2
0N9E1acBabh4u4bZ_tcrBw,Yaletown Gelato,72,4.0,[],e9b37f2d9b7b2e2e3ade73f13acb69b2
5-6h5lbOmnQpgN54gCR_CQ,Menchie's Frozen Yogurt,18,4.0,[],e9b37f2d9b7b2e2e3ade73f13acb69b2
zSVlSPVRWk2I9u28cE8brw,Zab Zaab Thai Cuisine,7,4.5,[],e9b37f2d9b7b2e2e3ade73f13acb69b2
rJbPq2B7xVaJW3myVANfRw,Craffles,3,4.0,[],e9b37f2d9b7b2e2e3ade73f13acb69b2
QEfis06p6udDdabqxjXmCg,Tre Galli Gelato Caffe,5,3.5,[],e9b37f2d9b7b2e2e3ade73f13acb69b2
