id,name,review_count,rating,transactions,station_id
I0r8kMimYW2BY6lINcZRFA,Kishimoto Japanese Kitchen,504,4.5,[],6eaa02e5bcf78db5386683d38fa2dabd
JoaCHPW7XMzZJDAjFKl3jg,Elephant Garden Creamery,120,4.5,[],6eaa02e5bcf78db5386683d38fa2dabd
pI9ZtT7OHt5sMJC7MxutFQ,Fire Pizza,182,3.5,[],6eaa02e5bcf78db5386683d38fa2dabd
l5YE5LXTdFQ3DdmECHVWpQ,Prado Café,123,3.5,[],6eaa02e5bcf78db5386683d38fa2dabd
ip5hyNODb1XTq1-3rDKs6g,Addis Cafe Ethiopian Restaurant,29,4.5,[],6eaa02e5bcf78db5386683d38fa2dabd
qeFnyrrsUwW8Ww_ojxcssQ,Best Falafel,76,3.5,[],6eaa02e5bcf78db5386683d38fa2dabd
_e56IaLWRU9RTdRDbqtLEg,Rinconcito Salvadoreno Restaurant,87,3.5,[],6eaa02e5bcf78db5386683d38fa2dabd
zcoPjPRU_gtzkUXXa07Tzw,Grounds For Coffee,42,4.0,[],6eaa02e5bcf78db5386683d38fa2dabd
HF7NNHZXHyTVyOON26mBHg,Sushi Ville,146,3.0,[],6eaa02e5bcf78db5386683d38fa2dabd
LklghlHetMds8vGlEshMjg,Tangent Cafe,136,3.5,[],6eaa02e5bcf78db5386683d38fa2dabd
T7KT5Ag16ySOq4LDwbkUoQ,La Pache Pizza,23,4.5,[],6eaa02e5bcf78db5386683d38fa2dabd
v7910-DAd5gQuRcJTi953A,Riddim & Spice,36,3.0,[],6eaa02e5bcf78db5386683d38fa2dabd
WsBJnjMAy2KOIE9InQupug,4 Brothers' Pizza,31,3.5,[],6eaa02e5bcf78db5386683d38fa2dabd
3zaU9jNhg_plHlTJGJbENg,Holy Smoke,2,4.5,[],6eaa02e5bcf78db5386683d38fa2dabd
1kIQ8te28ErAK-dFyLHcaA,Hariyali Express Indian Cuisine & Bar,1,5.0,[],6eaa02e5bcf78db5386683d38fa2dabd
