id,name,review_count,rating,transactions,station_id
Ev4OaNeVoq6UbKd8774dyA,District Bar & Restaurant,88,4.0,[],2ef000bc9d4650d8cc6198c4d570b19f
KF9osr-B-5jzmujeb5lMkA,Rocanini Coffee Roasters,54,4.5,[],2ef000bc9d4650d8cc6198c4d570b19f
JMz8y1xj5JiUN1SH5WWBVg,Frankie's Italian Kitchen,143,3.5,[],2ef000bc9d4650d8cc6198c4d570b19f
QcobdaSnBNZuqgsRMVWfjQ,Frankie's Jazz Club,41,4.0,[],2ef000bc9d4650d8cc6198c4d570b19f
gG8I4cBYr705Mk-fTNzlWQ,Sciué,16,4.0,[],2ef000bc9d4650d8cc6198c4d570b19f
vPilJXGRLxS4r_Ot4lnmpw,Boston Pizza,124,2.0,[],2ef000bc9d4650d8cc6198c4d570b19f
hW3mdzVh1NLJShTEoG1VLw,Y.V.'s Chestnuts,2,2.5,[],2ef000bc9d4650d8cc6198c4d570b19f
jaYjyvJYXZn3lNi_tl9Z_A,Pane E Formaggio,1,4.0,[],2ef000bc9d4650d8cc6198c4d570b19f
M8xFgD-yc5odkwbmQWeh5Q,Cafe Orca,4,1.5,[],2ef000bc9d4650d8cc6198c4d570b19f
