id,name,review_count,rating,transactions,station_id
I_htQGvBNVkH2j1zaEfANQ,Uncle Fatih's Pizza,169,3.5,[],983e58671adcc67af94457d7887dbb15
VznOFJQbZ9PZKrzdXkkiiA,St. Augustine's,274,3.5,[],983e58671adcc67af94457d7887dbb15
JIlC64DUU57S5PDmtPb9yA,Megabite Pizza,51,2.5,[],983e58671adcc67af94457d7887dbb15
hIPlc-k-0-g6oTcH1C5BZQ,A&W,30,2.5,[],983e58671adcc67af94457d7887dbb15
s7RG7BBV4Yp0r6OaJ6wPwQ,Blenz Coffee,27,2.5,[],983e58671adcc67af94457d7887dbb15
n756OL-fbe0sOKAMEfsphg,Hon’s Wonton House,5,2.5,[],983e58671adcc67af94457d7887dbb15
o-AGcEVVbNDk3_SCEhNERg,Donair Dude,3,3.5,[],983e58671adcc67af94457d7887dbb15
