id,name,review_count,rating,transactions,station_id
esiq28ryKqk7G_xwDyJxkg,Koyuki Sapporo Ramen,91,3.5,[],5105df3dd0daf4c26980f4134f61e5cc
viTut7TZzcR2Q8HAtqe8Zw,Tim Hortons,46,3.5,[],5105df3dd0daf4c26980f4134f61e5cc
a9P_JDakVrbunkghXHM9ug,Coco Rico Cafe,74,3.5,[],5105df3dd0daf4c26980f4134f61e5cc
1UkzvVfUk0_MSTm6G34fMA,Bella Gelateria,10,4.5,[],5105df3dd0daf4c26980f4134f61e5cc
B2UbgKVGP6P7HhD4DtYP8A,Ahwaz Hookah House,22,3.5,[],5105df3dd0daf4c26980f4134f61e5cc
Kv9c395EanG-Xv8pp8j_fg,miss KOREA BBQ,29,2.5,[],5105df3dd0daf4c26980f4134f61e5cc
ZfsWvQRC1nhMOcD67rcFtQ,Wasabi Restaurant,3,3.5,[],5105df3dd0daf4c26980f4134f61e5cc
