fsq_id,name,popularity,rating,stats.total_photos,stats.total_ratings,stats.total_tips,price,station_id
604859d906d2a567129f63d3,CRAFT Beer Market English Bay,0.9946073867163253,8.2,16.0,9.0,3.0,,e75e83499d3fa2e174dc2a8ffd238119
4b946504f964a520947734e3,Won More Szechuan Cuisine,0.7583604903786468,8.1,7.0,11.0,3.0,,e75e83499d3fa2e174dc2a8ffd238119
4abbf55cf964a520ae8520e3,Marble Slab Creamery,0.9405260707635009,7.6,104.0,60.0,18.0,1.0,e75e83499d3fa2e174dc2a8ffd238119
597418f115173e2ac2644b47,Hook Seabar,0.9695841092489137,7.3,26.0,29.0,2.0,3.0,e75e83499d3fa2e174dc2a8ffd238119
4ac6a6dff964a520a5b520e3,Mediterranean Grill,0.975306486654252,7.2,47.0,46.0,15.0,2.0,e75e83499d3fa2e174dc2a8ffd238119
4afa7953f964a520ec1722e3,The Calling Public House,0.9664222532588455,6.7,170.0,81.0,26.0,2.0,e75e83499d3fa2e174dc2a8ffd238119
4abad180f964a520108320e3,Babylon Cafe,0.950768156424581,6.9,24.0,24.0,9.0,1.0,e75e83499d3fa2e174dc2a8ffd238119
51b3e9fd498edc9cb202bada,Shamrock Alley,0.9515828677839852,6.6,22.0,21.0,6.0,1.0,e75e83499d3fa2e174dc2a8ffd238119
56ff4fa6498e3f0ebdbdbfe1,La Catrina Mexican Tacos,0.8423339540657977,6.4,10.0,19.0,4.0,1.0,e75e83499d3fa2e174dc2a8ffd238119
5f03a449620ed061bb7493b8,Vonns,0.8994219428926132,,,,,1.0,e75e83499d3fa2e174dc2a8ffd238119
602dd2158f3fbb0da5b579a5,The Loft on Denman,0.8938353507138423,,,,,2.0,e75e83499d3fa2e174dc2a8ffd238119
5e2e693517ff6400083267ca,Beeryani Indian Bistro and Bar,0.0626745810055866,,,,,2.0,e75e83499d3fa2e174dc2a8ffd238119
5bc42e0bda5ede002cc5c121,The Cake Club,0.20889587212911234,,,,,1.0,e75e83499d3fa2e174dc2a8ffd238119
60b2d8cbc694b97103cb8a0c,Pigot’s Burger Club,0.3469894475481068,,,,,1.0,e75e83499d3fa2e174dc2a8ffd238119
7c19d9c1af2e4498cc2ed62c,Subway,,,,,,,e75e83499d3fa2e174dc2a8ffd238119
17f2d6789de14b63743943b4,CruiseyT,,,,,,,e75e83499d3fa2e174dc2a8ffd238119
72bf4e0bf4c24926154b4711,Milestone's Restaurant,,,,,,,e75e83499d3fa2e174dc2a8ffd238119
0325b4b3ff1a496e0503c538,English Bay Bistro,,,,,,,e75e83499d3fa2e174dc2a8ffd238119
26b014175e054ff7c957cdf1,Seafood and Papi's Oyster Bar,,,,,,,e75e83499d3fa2e174dc2a8ffd238119
0cf26ad97e8b40b5d624c3ce,Engelsea Pizza and Cafe,,,,,,,e75e83499d3fa2e174dc2a8ffd238119
89a5ce4546e3416642b6df4a,Freshslice Pizza,,,,,,,e75e83499d3fa2e174dc2a8ffd238119
