fsq_id,name,popularity,price,rating,stats.total_photos,stats.total_ratings,stats.total_tips,station_id
52e3117c498e80bce38c3c3b,SushiVan,0.9618055555555556,2.0,7.7,13.0,34.0,7.0,96bf713e60bc35cc2feb5fd53a4f3471
4aa6ab95f964a520974a20e3,Cactus Club Cafe West Broadway,0.9663640595903166,2.0,7.4,86.0,73.0,16.0,96bf713e60bc35cc2feb5fd53a4f3471
4b0c9da8f964a520314023e3,The Marquis,0.9097416201117319,2.0,6.2,79.0,49.0,18.0,96bf713e60bc35cc2feb5fd53a4f3471
be4716e2c16c42c98fedab2a,Real-Vancouver.com,,,,,,,96bf713e60bc35cc2feb5fd53a4f3471
