fsq_id,name,popularity,price,rating,stats.total_photos,stats.total_ratings,stats.total_tips,station_id
4aa950f2f964a5200d5320e3,Siegel's Bagels,0.9797486033519553,1.0,8.5,149.0,154.0,39.0,b9fd847d53fe45658fee4c46e7f562b8
4aad935df964a520e96020e3,Corduroy,0.8414028553693358,2.0,8.3,38.0,45.0,17.0,b9fd847d53fe45658fee4c46e7f562b8
4bd33deca8b3a5935075695f,Juliet's Cafe,0.8950186219739292,1.0,7.6,25.0,14.0,8.0,b9fd847d53fe45658fee4c46e7f562b8
5303dae7498e5d1cb5b692ed,Al Basha,0.9011677529484792,1.0,7.2,4.0,15.0,5.0,b9fd847d53fe45658fee4c46e7f562b8
4abea9f5f964a5202f8f20e3,Panne Rizo,0.825768156424581,1.0,7.1,11.0,10.0,3.0,b9fd847d53fe45658fee4c46e7f562b8
5f3ca62a05559a212bb10681,Pizza Pizza,0.7731610800744879,1.0,6.2,,1.0,,b9fd847d53fe45658fee4c46e7f562b8
4aaada50f964a520b95720e3,Bean Around the World Coffees,0.8949022346368715,1.0,6.8,47.0,29.0,21.0,b9fd847d53fe45658fee4c46e7f562b8
4ac3e749f964a520669d20e3,Triple O's,0.9184512725015518,1.0,5.7,28.0,24.0,9.0,b9fd847d53fe45658fee4c46e7f562b8
4aa6b91bf964a520cf4a20e3,Vera's Burger Shack,0.8973657666045934,2.0,5.8,24.0,20.0,8.0,b9fd847d53fe45658fee4c46e7f562b8
5bcf73f92db4a9002ce15b9c,Cantina Pana,0.6509931719428926,1.0,,,,,b9fd847d53fe45658fee4c46e7f562b8
6029daee0e6d761a9bb8bdcd,Moltan Roll Bar and Sake,0.9333294537554314,2.0,,,,,b9fd847d53fe45658fee4c46e7f562b8
5aa6d80b2955137d5d55dd1c,Pitchfork,0.34245034140285535,2.0,,,,,b9fd847d53fe45658fee4c46e7f562b8
62a61aaba5a3fa1939883b92,Kits Beach Beer Tap House,0.20169925512104284,,,,,,b9fd847d53fe45658fee4c46e7f562b8
c4387ea9f8014908e037b20c,Pitchfork Restaurant,,,,,,,b9fd847d53fe45658fee4c46e7f562b8
