fsq_id,name,popularity,price,rating,stats.total_photos,stats.total_ratings,stats.total_tips,station_id
5646ab13498e460c732920e8,Ramen Danbo - Robson,0.989544537554314,2.0,9.0,224.0,256.0,43.0,da8b6e94f90ad41a3f8de10596992372
50a6d03f29a6ae018b3f7fe0,Forage,0.9719894475481068,2.0,8.6,308.0,251.0,54.0,da8b6e94f90ad41a3f8de10596992372
4aa815a0f964a520344f20e3,Miko Sushi Japanese Restaurant,0.3153514897579143,2.0,8.6,73.0,80.0,28.0,da8b6e94f90ad41a3f8de10596992372
54950f91498e505982dc3683,Chatime,0.8169227188081937,,8.2,43.0,126.0,5.0,da8b6e94f90ad41a3f8de10596992372
56611a1a498efeaff6226ba1,Timber,0.8421205772811918,3.0,7.4,69.0,59.0,13.0,da8b6e94f90ad41a3f8de10596992372
4aaaf960f964a520575820e3,Konbiniya,0.9943552141527002,,8.8,140.0,159.0,20.0,da8b6e94f90ad41a3f8de10596992372
5613530b498ea051161f8998,Cora Breakfast & Lunch,0.9636095592799503,1.0,8.0,59.0,65.0,10.0,da8b6e94f90ad41a3f8de10596992372
4bd4fae529eb9c7406c492e1,Chongqing Chinese Restaurant,0.9180245189323402,2.0,7.4,42.0,45.0,16.0,da8b6e94f90ad41a3f8de10596992372
4afb18aaf964a520221b22e3,A Taste of India Restaurant Inc,0.9126707014276847,2.0,7.1,9.0,14.0,4.0,da8b6e94f90ad41a3f8de10596992372
52f3eb5b498e301b738db83a,Stepho's Souvlaki Greek Taverna,0.7918800434512725,2.0,7.4,96.0,138.0,22.0,da8b6e94f90ad41a3f8de10596992372
548bb931498e031a7dad39a6,Tim Hortons,0.958604903786468,1.0,6.9,63.0,40.0,2.0,da8b6e94f90ad41a3f8de10596992372
4afa294cf964a5201e1722e3,Bubble World,0.9426986343885785,1.0,6.7,75.0,61.0,18.0,da8b6e94f90ad41a3f8de10596992372
4b6e41aaf964a5209ab42ce3,Coco Rico Cafe,0.9531153010552452,1.0,6.5,36.0,32.0,15.0,da8b6e94f90ad41a3f8de10596992372
58cc471c4e31c532f4cf9011,Meet Fresh,0.7947121353196772,1.0,6.8,31.0,19.0,1.0,da8b6e94f90ad41a3f8de10596992372
4ae3ba88f964a520809821e3,Dae Bak Bon Ga,0.5586204220980757,2.0,6.2,47.0,29.0,8.0,da8b6e94f90ad41a3f8de10596992372
5a527d939411f2779e45f2ba,Rice and Noodle,0.9228739913097455,2.0,6.4,12.0,9.0,1.0,da8b6e94f90ad41a3f8de10596992372
5781bbbe498e9779ec41b7d0,Koyuki Sapporo Ramen,0.9109248913718188,,5.9,15.0,13.0,4.0,da8b6e94f90ad41a3f8de10596992372
59ac511c037be17f2b9b4982,Joong Won,0.6819716014897579,2.0,,,,,da8b6e94f90ad41a3f8de10596992372
5d8189ed153d7800081308bd,Umai Savoury Hot Dog,0.5847687771570453,1.0,,,,,da8b6e94f90ad41a3f8de10596992372
5d659065ffbacb0008a01cf5,Miss Korea BBQ,0.9621547175667288,2.0,,,,,da8b6e94f90ad41a3f8de10596992372
57a2aa6d498e39ed4c1de8f7,Won Jung,0.24660536933581625,1.0,,,,,da8b6e94f90ad41a3f8de10596992372
4b501e3ef964a520061d27e3,The Bunker at the Barclay,0.7582828988206083,2.0,,,,,da8b6e94f90ad41a3f8de10596992372
523f9e0e11d22f1cfd3c2e8d,Ole Wings & Tapas,0.9387220670391061,2.0,,,,,da8b6e94f90ad41a3f8de10596992372
5de72d661a9c7d000841803c,Kosoo Korean Chicken & BBQ Restaurant,0.9305555555555556,2.0,,,,,da8b6e94f90ad41a3f8de10596992372
2702cfe832ed453f7544ce95,Yakiniku Chosun Restaurant,,,,,,,da8b6e94f90ad41a3f8de10596992372
b4b3bc42e0264cb6c95ab4e4,Brazil Station,,,,,,,da8b6e94f90ad41a3f8de10596992372
170974508684437d4ef2fdab,Chong Qing on Robson,,,,,,,da8b6e94f90ad41a3f8de10596992372
8b404c4a15244b8c46cef389,Chongqing,,,,,,,da8b6e94f90ad41a3f8de10596992372
0a1ce696e77d4761aaca3e97,The Bunker Project,,,,,,,da8b6e94f90ad41a3f8de10596992372
