fsq_id,name,popularity,price,rating,stats.total_photos,stats.total_ratings,stats.total_tips,station_id
4aa81620f964a5203b4f20e3,Moose's Down Under,0.9525721601489758,2.0,7.6,89.0,79.0,16.0,fbb1d30d7f30b049873f5be5688563d4
4aa94b4af964a520f15220e3,Scoozi's,0.9130974549968963,2.0,7.4,120.0,168.0,60.0,fbb1d30d7f30b049873f5be5688563d4
4aad5fd7f964a520f75f20e3,Sciué Italian Bakery Caffé,0.954046399751707,1.0,6.9,43.0,55.0,20.0,fbb1d30d7f30b049873f5be5688563d4
4aa87d05f964a5207a5120e3,The Butcher & Bullock,0.8869490999379267,1.0,6.4,118.0,143.0,39.0,fbb1d30d7f30b049873f5be5688563d4
4c49d7b3567776b07e8d0588,Japadog,0.9554236499068901,1.0,6.7,65.0,27.0,11.0,fbb1d30d7f30b049873f5be5688563d4
5938aff5829b0c197db5625e,Silver Crescent Tea Co,0.10502017380509,2.0,,,,,fbb1d30d7f30b049873f5be5688563d4
53629dc0498e27d5756987a7,Via Tevere Food Truck,0.9027777777777778,1.0,,,,,fbb1d30d7f30b049873f5be5688563d4
4c115e5d6e5dc9b6e8faaf2d,Pho Express,0.8979283054003724,2.0,,,,,fbb1d30d7f30b049873f5be5688563d4
587d4a3d0393cc5a953d2064,Bibiko,0.7995616076970825,2.0,,,,,fbb1d30d7f30b049873f5be5688563d4
b73d64f82bfc408c570ff17c,Chelsea Restaurant,,,,,,,fbb1d30d7f30b049873f5be5688563d4
1646e418a9ff4294281bc2fb,Hydra Cafe and Bar,,,,,,,fbb1d30d7f30b049873f5be5688563d4
ec3a07d73e324de970fe8062,Hydra Estiatorio Mediterranean,,,,,,,fbb1d30d7f30b049873f5be5688563d4
722403136cb14651f9b13e44,Palate Kitchen,,,,,,,fbb1d30d7f30b049873f5be5688563d4
355bc300a6ee431f28f5c420,Subway,,,,,,,fbb1d30d7f30b049873f5be5688563d4
5285454abff84c0f6f791b30,Black Pearl,,,,,,,fbb1d30d7f30b049873f5be5688563d4
abb445c6c11649cf546c0df3,Kumo Japanese Ramen,,,,,,,fbb1d30d7f30b049873f5be5688563d4
6967dc5d8d534cd3b2742968,Bubble Waffle,,,,,,,fbb1d30d7f30b049873f5be5688563d4
