fsq_id,name,popularity,price,rating,stats.total_photos,stats.total_ratings,stats.total_tips,station_id
4aa7350bf964a520464c20e3,Havana,0.9763927684667908,2.0,8.7,234.0,320.0,59.0,b562f08327af465e4531e20226789489
502ef97ce4b047ef9a41d5aa,Absinthe Bistro,0.8066224394785847,3.0,7.8,14.0,9.0,6.0,b562f08327af465e4531e20226789489
4aa9b6fbf964a520fe5420e3,Fets Whisky Kitchen,0.9337756052141527,2.0,8.1,96.0,84.0,18.0,b562f08327af465e4531e20226789489
4f8e0f4ce4b018d8f5fde367,Famoso Neapolitan Pizzeria,0.9162981067659839,2.0,7.7,130.0,86.0,30.0,b562f08327af465e4531e20226789489
511ffd76e4b0781dd9ddbf08,Scandilicious,0.4865184667908132,2.0,7.4,9.0,13.0,6.0,b562f08327af465e4531e20226789489
4d4de106d6f3224bc258a1a6,Cafe du Soleil,0.8366891682184978,2.0,7.4,6.0,9.0,4.0,b562f08327af465e4531e20226789489
4aa86b72f964a520375120e3,Memphis Blues Barbeque House,0.9302839851024208,2.0,6.9,66.0,38.0,14.0,b562f08327af465e4531e20226789489
57dc3a9b498e06f25a983709,City Bistro European Food and DELI,0.2233860955927995,,,,,,b562f08327af465e4531e20226789489
5ddc44f3ec276a00087c44f2,Pacific Poke,0.1665114835505897,,,,,,b562f08327af465e4531e20226789489
5e0832ef80c6a900070c1374,Oca Pastificio,0.9150566418373681,2.0,,,,,b562f08327af465e4531e20226789489
4c1246c08aedd13a66405137,Abruzzo Cappuccino Bar,0.8354283054003724,1.0,,,,,b562f08327af465e4531e20226789489
54c3105e498ee8c2a66f863c,Al Basha,0.045526846679081315,1.0,,,,,b562f08327af465e4531e20226789489
96103c4cdaea464346b37d68,Turk's Coffee Exchange,,,,,,,b562f08327af465e4531e20226789489
87902c62490e48b14e08e932,Oca Pastificio,,,,,,,b562f08327af465e4531e20226789489
80cc98ce67804e6d78be6983,Pacific Poke,,,,,,,b562f08327af465e4531e20226789489
