fsq_id,name,popularity,price,rating,stats.total_photos,stats.total_ratings,stats.total_tips,station_id
4c2914f39fb5d13a79979a57,Tim Hortons,0.9731339230291745,1.0,7.7,26.0,97.0,7.0,6993b3dbb0758927967592ea612a2b1e
4b9feb11f964a520654a37e3,Opa Souvlaki of Greece,0.8411506828057107,2.0,7.1,8.0,10.0,1.0,6993b3dbb0758927967592ea612a2b1e
4ac3c9f4f964a520d49c20e3,Thai Express,0.9795352265673495,2.0,7.0,17.0,21.0,7.0,6993b3dbb0758927967592ea612a2b1e
4ab2cd5cf964a520746c20e3,New York Fries - Pacific Centre,0.9822315332091869,2.0,6.3,34.0,12.0,3.0,6993b3dbb0758927967592ea612a2b1e
4fa19819e4b0ab90fc87cef3,Pig on the Street,0.052975636250775913,1.0,7.6,30.0,10.0,6.0,6993b3dbb0758927967592ea612a2b1e
5b25684d1543c7002c7230e9,Cacao 70 Sweet House,0.6746585971446306,1.0,,,,,6993b3dbb0758927967592ea612a2b1e
4efe5201a69d45461c39ca84,Fit For Life Vancouver,0.2851489757914339,1.0,,,,,6993b3dbb0758927967592ea612a2b1e
508a9546b0b93324a1f072c2,Orange Julius,0.8465820918684047,1.0,,,,,6993b3dbb0758927967592ea612a2b1e
4ddacaa263653908de758dbe,La Prep Daily Fresh,0.4305167597765363,1.0,,,,,6993b3dbb0758927967592ea612a2b1e
4aecadc3f964a5203aca21e3,Taco Time,0.9361227498448169,1.0,,,,,6993b3dbb0758927967592ea612a2b1e
4b86efcdf964a520eca631e3,Umi Sushi Express,0.5971640285536933,2.0,,,,,6993b3dbb0758927967592ea612a2b1e
5d2846ea3221cb0023997a80,Jugo Juice,0.9274324953445066,1.0,5.5,11.0,9.0,3.0,6993b3dbb0758927967592ea612a2b1e
524c7f48498e1fa3f19e52e3,O Sushi,0.9568978895096214,2.0,5.1,48.0,41.0,5.0,6993b3dbb0758927967592ea612a2b1e
4b6f45fef964a52087e82ce3,A&W Restaurant,0.9622517070142769,1.0,5.6,11.0,13.0,4.0,6993b3dbb0758927967592ea612a2b1e
4bd9db2f3904a5939ee8439e,Flaming Wok,0.8958527312228429,1.0,5.3,10.0,11.0,4.0,6993b3dbb0758927967592ea612a2b1e
4bc16b7266ec40f566f05423,Take Five Café,,,,,,,6993b3dbb0758927967592ea612a2b1e
e9693515c85fbcec686cd8c6,Fatburger,,,,,,,6993b3dbb0758927967592ea612a2b1e
f1fe082c9da445475eed6767,New York Fries,,,,,,,6993b3dbb0758927967592ea612a2b1e
a13f4631e77b44024a06c12f,Garden Terrace,,,,,,,6993b3dbb0758927967592ea612a2b1e
181f4901be7946afcc0bc05c,El Caravan Express,,,,,,,6993b3dbb0758927967592ea612a2b1e
