fsq_id,name,popularity,price,rating,stats.total_photos,stats.total_ratings,stats.total_tips,station_id
514cc33ae4b0cbb5ebe906ed,Number e food,0.8535265363128491,1.0,8.2,7.0,12.0,3.0,4990fe5772f3b73eebeec125b41e478e
4bbe5ae582a2ef3bf2382bd2,Sushi Coen,0.02294770328988206,2.0,7.8,1.0,8.0,2.0,4990fe5772f3b73eebeec125b41e478e
6078a8f25143892cb9e9c954,Maxine's Cafe & Bar,0.9936568901303539,2.0,7.4,43.0,8.0,2.0,4990fe5772f3b73eebeec125b41e478e
4ca4e506f47ea143584b5221,Maple Leaf Delicatessen,0.373719739292365,1.0,7.0,6.0,9.0,1.0,4990fe5772f3b73eebeec125b41e478e
4ac64304f964a5206db320e3,Daikichi Sushi,0.05920235878336437,2.0,6.1,15.0,12.0,8.0,4990fe5772f3b73eebeec125b41e478e
5ec1729cd0be34000762fb73,Caffe Mira,0.9813392302917443,1.0,,,,,4990fe5772f3b73eebeec125b41e478e
9a8df93d40034c06f9e940b9,Yo Ramen,,,,,,,4990fe5772f3b73eebeec125b41e478e
