fsq_id,name,popularity,price,rating,stats.total_photos,stats.total_ratings,stats.total_tips,station_id
4bd753c80b779c741ae904a0,Napoletana Pizza,0.8836320608317815,2.0,7.5,1.0,10.0,3.0,1d442ad1a71774c82688a45954e47bfd
59711b4f6fa81f7095c7fb66,Gyo Para Gyoza & Ramen Bar,0.9504189944134078,,7.4,15.0,16.0,5.0,1d442ad1a71774c82688a45954e47bfd
4bf06363f45ec92858c9933c,Gramercy Grill,0.8247012725015518,3.0,7.2,60.0,18.0,3.0,1d442ad1a71774c82688a45954e47bfd
4b2d62adf964a5208bd524e3,Plaisir Sucre Bakery Ltd,0.8141488206083178,3.0,6.7,28.0,18.0,10.0,1d442ad1a71774c82688a45954e47bfd
4b197afef964a5201cde23e3,Subway,0.918800434512725,1.0,6.2,2.0,7.0,1.0,1d442ad1a71774c82688a45954e47bfd
50fdf001e4b04cff0384ba89,Trees Organic Coffee,0.9604671011793917,1.0,7.1,25.0,40.0,8.0,1d442ad1a71774c82688a45954e47bfd
bf62802fe4ec69d073a83ccb,Coquette,,,,,,,1d442ad1a71774c82688a45954e47bfd
