fsq_id,name,popularity,price,rating,stats.total_photos,stats.total_ratings,stats.total_tips,station_id
4dbb17935da3ff58ec28adc9,Tableau Bar Bistro,0.9824449099937926,3,7.9,204.0,146.0,54.0,c2a9c5d0e4578b928554c86f3d2c1162
4aafd980f964a520e86420e3,Green Leaf Salad Bar,0.855330540037244,2,7.3,11.0,24.0,10.0,c2a9c5d0e4578b928554c86f3d2c1162
5929eeabc21cb17f3424a0bf,Yui Japanese Bistro,0.9167636561142147,2,7.8,10.0,8.0,3.0,c2a9c5d0e4578b928554c86f3d2c1162
582655cc2db9f34c9dba2e7a,A&W Restaurant,0.9622323091247672,1,6.8,13.0,5.0,3.0,c2a9c5d0e4578b928554c86f3d2c1162
4aa7e4ebf964a520e84d20e3,Waves Coffee House,0.8641371818746121,1,6.2,54.0,38.0,14.0,c2a9c5d0e4578b928554c86f3d2c1162
4aa81513f964a5202e4f20e3,Sushi Go,0.8266604593420236,2,5.6,14.0,19.0,5.0,c2a9c5d0e4578b928554c86f3d2c1162
4c23a8f3f1272d7f67c981c5,Time Out Cafe,0.9143777157045313,1,,,,,c2a9c5d0e4578b928554c86f3d2c1162
