fsq_id,name,popularity,station_id
4cf4597acc61a35d1324259e,Toptable Group,0.22078677839851024,fedff7a263c182df94bda7307059cc52
497dacca8ca9476c70f8644b,Alpha Global Sushi & Bar,,fedff7a263c182df94bda7307059cc52
a9a415f9d90b415160f46f0b,Richards on Richards Cabaret,,fedff7a263c182df94bda7307059cc52
