fsq_id,name,popularity,price,rating,stats.total_photos,stats.total_ratings,stats.total_tips,station_id
4aaec434f964a520346320e3,Le Crocodile Restaurant,0.9677607076350093,4.0,8.8,143.0,85.0,34.0,32f70f7ae14ba87523c6286a6c4d5c37
4aa7ed88f964a5200b4e20e3,Salathai Thai Restaurant,0.9750931098696461,2.0,7.9,144.0,159.0,47.0,32f70f7ae14ba87523c6286a6c4d5c37
53c32265498e7aa07942e9c1,Boulevard Kitchen & Oyster Bar,0.9927063935443824,4.0,8.3,128.0,69.0,16.0,32f70f7ae14ba87523c6286a6c4d5c37
4aa82e4bf964a520de4f20e3,Pacifico Pizzeria & Ristorante,0.9369762569832403,2.0,7.7,108.0,119.0,36.0,32f70f7ae14ba87523c6286a6c4d5c37
4aac67b3f964a520d95d20e3,Gerard Lounge,0.923766294227188,3.0,6.6,16.0,15.0,2.0,32f70f7ae14ba87523c6286a6c4d5c37
5a0cf72a3d479150f4bf65ba,Italian Kitchen,0.9478778708876474,2.0,6.6,36.0,25.0,4.0,32f70f7ae14ba87523c6286a6c4d5c37
5d1d64f5e7e5fc00239f129d,Ballyhoo Public House,0.8944754810676598,1.0,6.4,10.0,6.0,2.0,32f70f7ae14ba87523c6286a6c4d5c37
4aa74e0df964a520a64c20e3,Japa Dog,0.8246624767225326,1.0,7.6,229.0,152.0,57.0,32f70f7ae14ba87523c6286a6c4d5c37
5154ff1fe4b0859ca049d0c6,Kamei Baru,0.7796981688392303,2.0,6.1,110.0,55.0,13.0,32f70f7ae14ba87523c6286a6c4d5c37
623688d89f209c3b4a42a569,Chef Hung Taiwanese Bistro 990,0.885959807572936,,,,,,32f70f7ae14ba87523c6286a6c4d5c37
4dc0bf2c7d8bf48713b37c92,The Bird House,0.22526769087523277,1.0,,,,,32f70f7ae14ba87523c6286a6c4d5c37
249f044c4c4349f2f1aa3037,Lombardo's Pizzeria & Restaurant,,,,,,,32f70f7ae14ba87523c6286a6c4d5c37
15d984d3eb85413d0491c60a,Panago Pizza,,,,,,,32f70f7ae14ba87523c6286a6c4d5c37
668981d6b42843af91361b7b,Gerard Lounge,,,,,,,32f70f7ae14ba87523c6286a6c4d5c37
