,Unnamed: 0,Station ID,Station Name,latitude,longitude
63,63,4cb84c9a3743287019ae00ceef9a1cd3,0112 10th & Oak,49.262255,-123.126217
64,64,56fef9ba0af67a4ff3e661a8e02c0b08,0113 Arbutus & 16th,49.257654,-123.153212
65,65,c81f75a80312c51ceaef1304beac1990,0114 Cypress & 14th,49.25919,-123.148268
66,66,afacb2133f2462aba7748cc21b71c788,0115 Cypress & 16th,49.25741,-123.148531
67,67,a9f0b06d07f89b75e92c0cf686223aea,0123 Georgia & Thurlow,49.285953,-123.124066
68,68,686b314a6c3348efd2297d6b3dfed1a7,0126 Thurlow & Pendrell,49.280881,-123.130672
69,69,0d1b5c62f8d22e3650811df55596e25b,0130 Heather & 16th,49.256845,-123.120071
70,70,521c2122c791ed038168c3b8ff24061b,0132 14th & Ontario,49.25849,-123.104799
71,71,838d5bb59963474ad08a6d5b156943ed,0134 14th & Main,49.258425,-123.100792
72,72,b9ab6ce009eda6006ade1d7568d9db9c,0136 David Lam Park - West,49.270905,-123.126006
73,73,9ec4163496363b31ab475cb851b57b21,0137 Beach & Seymour,49.273568,-123.129935
74,74,fedff7a263c182df94bda7307059cc52,0138 Richards & Helmcken,49.277141,-123.122589
75,75,b9baf685b7053de899bf3467f61c2781,0139 Burrard & 4th,49.267859,-123.145782
76,76,8d6f0cbf7d44d2908c8ce73ed00dbf66,0140 Burrard & 7th,49.265336,-123.145823
77,77,988f8f74c4a12d1a30ddf2f7cd6318f8,0143 South False Creek Seawall,49.267628,-123.127698
78,78,2f09a64507cf6257c67ca20af27339eb,0147 Chestnut & McNicoll,49.275938,-123.145939
79,79,73f388336d879bedc962cd412eb0296e,0148 Creekside Park North,49.2756,-123.102661
80,80,cb6fddfdac7d350d25be475c7ab9e05a,0150 Alexander & Main,49.284157,-123.099917
81,81,cadc004f0903ef45e898032143c0832f,0152 Arbutus Greenway & 14th,49.258924,-123.152591
82,82,57e928d8c30fab0ebffb3ede850f89d6,0153 Arbutus Greenway & Fir,49.266774,-123.141135
83,83,6526a2eb3832f9ba0224d237e901ea5b,0154 Kitsilano Beach Park,49.273355,-123.154493
84,84,e44c2235dd603dbee54fe08f7543e85a,0155 Arbutus & McNicoll,49.276144,-123.151272
85,85,3596b4831ee2ea7812de753b32306835,0159 Vine & 4th,49.268339,-123.157443
86,86,c448b73d92f7f8e1daafb3b9c5fbe6a6,0161 Alexander & Dunlevy,49.284062,-123.095097
87,87,5fc29e0ac42c11abb45bf12aaeb925bd,0166 Alder & 11th,49.261742,-123.13148
88,88,61901a235d4cfceb7f8f2c3888b98617,0172 10th & Columbia,49.262206,-123.109091
89,89,175a074bf65455d1633639511dc129c8,0174 1st & Manitoba,49.27023,-123.10651
90,90,35eb539fb9298bb7e4f6759ca0256505,0176 10th & Ontario,49.262062,-123.104656
91,91,7b8dfa12900bcb02b47a14e4e5010ba3,0177 Quebec & 1st,49.27033,-123.10275
92,92,b30ed0719dd281867a4d39779c78b58a,0180 Columbia & 14th,49.258902,-123.109596
93,93,e1a4d91fdae7e18483373f648141e53e,0187 Bute & Davie,49.282224,-123.132778
94,94,ace20c241ee38643c9060f290b215b9d,0191 7th & Laurel,49.265071,-123.123864
95,95,3aed670ccdcd94b966c0f505f8b028c7,0192 7th &  Alder,49.265198,-123.131043
96,96,ae69aeab748d02e5a7d89da28a1a8511,0193 Science World,49.273691,-123.102232
97,97,0c9ad3e3703e5869b82619ecdf54f43e,0197 1st & Scotia,49.2685027,-123.0975014
98,98,852212d6d52b5f00544fad01d21c7db2,0199 Georgia & Main,49.278529,-123.100017
99,99,f3708906ec71348f5a42579fede36a0d,0201 Shaw Tower,49.288682,-123.11818
100,100,d145b7498709289702095a4a2fcb2e03,0203 Pine & 14th,49.258864,-123.14353
101,101,9449a6a83fbf88452e384350e5ac95b7,0204 York & Yew,49.271741,-123.155421
102,102,365da33e9ce06ea53db1173a0f8eae71,0205 Pine & 10th,49.262822,-123.14338
103,103,707c1c54e0278fbae5d0ae3c42a25b71,0206 8th & Scotia,49.263635,-123.099236
104,104,5105df3dd0daf4c26980f4134f61e5cc,0207 Alberni & Jervis,49.28763,-123.127245
105,105,82c794442f54fabf9db6e392ca1fac0f,0209 Stanley Park - Information Booth,49.297933,-123.130758
106,106,2ca388bba54706770900ca2a9d7aa5be,0211 14th & Alder,49.258819,-123.131317
107,107,e7bf01431a6982f032996ad50a9e5bd7,0213 Pender & Gore,49.280284,-123.097052
108,108,1648ead5ea617d2cea115869d9516f5e,0218 Carrall & Seawall,49.276294,-123.106534
109,109,91035fe1d70b65c9cb8ec4a007af7c7f,0221 Glen & Union,49.277469,-123.081315
110,110,d3aaff4414a8c3fd5480c470f77ff68a,0222 Adanac & McLean,49.277665,-123.073653
111,111,b307709b305dd04328fbbf2c6db86419,0223 Commercial & Adanac,49.277436,-123.070427
112,112,e9c4bd1fffbb1e5b058b8ea15f7307f6,0224 Pender & Commercial,49.280332,-123.070068
113,113,bb0847559ce71c93d8215c0997ea2811,0229 Keefer & Princess,49.279369,-123.091241
114,114,1ef5c4ff3f0b09422bb1597fd9d7568b,0230 Alexander & Railway,49.283992,-123.091206
115,115,ac3b8198f03754a0afb8b6ed6d220cdd,0231 Napier & Commercial,49.274881,-123.069323
116,116,029a505bd4422a1afd127987757f71a6,0232 Britannia Parking Lot,49.275882,-123.071865
117,117,0459b7e93703980b853cd65a9dc60596,0233 Thornton & National,49.273777,-123.092723
118,118,a21f40838346e300063bdda3c5c04105,0236 Keith & 6th,49.265005,-123.079481
119,119,209fb233aff275020a640c8c40a18d90,0237 Glen & 6th,49.265024,-123.08127
120,120,6b1622540fe5c85d365754dd8c20bf0c,0239 Grant & Commercial,49.271377,-123.069416
121,121,ebc551adb0fc1a684f4080e4954a9ba4,0240 2nd & Commercial,49.268616,-123.069908
122,122,6eaa02e5bcf78db5386683d38fa2dabd,0241 4th & Commercial,49.266969,-123.069936
123,123,983e58671adcc67af94457d7887dbb15,0242 8th & Commercial,49.263242,-123.070521
124,124,797ff1725f8d2b18337de51e240ff60d,0244 10th & Commercial,49.261403,-123.070102
125,125,277b4b4881bdb7dac73012672179def8,0245 Woodland & 10th,49.261263,-123.073707
126,126,e1ff428dadc7c32141b9d89a7b56728a,0246 Glen & Broadway,49.262242,-123.081459
